movie_name,review_text
בייביגירל,"""בייביגירל | זלזול באינטליגנציה של הצופים"""
BETTER MAN: סיפורו של רובי וויליאמס,"""BETTER MAN: סיפורו של רובי וויליאמס | סרט מדהים"""
בייביגירל,"""בייביגירל | כנראה שהיו לי ציפיות גבוהות מדיי לאור הביקורות כאן"""
בייביגירל,"""בייביגירל | חיקוי זול, כרגיל מעתיקים, לסדרה השבדית המצוינת ""אהבה..."""
הנהג של מדלן,"""הנהג של מדלן |  מפגש יפה ומפרה"""
נוספרטו,"""נוספרטו | יצירה קולנועית"""
אנורה,"""אנורה |  אני התחברתי לסרט והוא מאד נגע בי,
ונשארתי עם הרבה ..."""
היט מן,"""היט מן |  סימפתי"""
בייביגירל,"""בייביגירל | דרמת מתח שמאוד אהבתי"""
הטבעת,"""הטבעת | סרט טוב מאוד  מעניין  שחקנים מצוינים מושקע שילוב של ..."""
