movie_name,review_text,user_feeling
בייביגירל,"""בייביגירל | זלזול באינטליגנציה של הצופים""",NEUTRAL
BETTER MAN: סיפורו של רובי וויליאמס,"""BETTER MAN: סיפורו של רובי וויליאמס | סרט מדהים""",POSITIVE
בייביגירל,"""בייביגירל | כנראה שהיו לי ציפיות גבוהות מדיי לאור הביקורות כאן""",NEUTRAL
בייביגירל,"""בייביגירל | חיקוי זול, כרגיל מעתיקים, לסדרה השבדית המצוינת ""אהבה...""",NEUTRAL
הנהג של מדלן,"""הנהג של מדלן |  מפגש יפה ומפרה""",POSITIVE
נוספרטו,"""נוספרטו | יצירה קולנועית""",NEUTRAL
אנורה,"""אנורה |  אני התחברתי לסרט והוא מאד נגע בי,
ונשארתי עם הרבה ...""",NEUTRAL
היט מן,"""היט מן |  סימפתי""",NEUTRAL
בייביגירל,"""בייביגירל | דרמת מתח שמאוד אהבתי""",NEUTRAL
הטבעת,"""הטבעת | סרט טוב מאוד  מעניין  שחקנים מצוינים מושקע שילוב של ...""",POSITIVE
