movie,review,rating,user_feeling
הצמה,"""הצמה | סרט מקסים ומרגש עד דמעות""",8.0,NEUTRAL
היורש,"""היורש |  אחד הסרטים הצרפתים היותר גרועים שראיתי""",,NEGATIVE
למה מלחמה,"""למה מלחמה | סרט חסר ערך""",,NEUTRAL
בייביגירל,"""בייביגירל |  המבקרת שקראה לניקול קידמן ""זקנה ג''ינג''ית גונחת"" ל...""",9.0,NEUTRAL
הטבעת,"""הטבעת | ציון 10 ואין מה להוסיף""",10.0,NEUTRAL
הנכס,"""הנכס | שחקנים מצויינים,רבקה מיכאלי מעולה""",,POSITIVE
בייביגירל,"""בייביגירל | היו לי ציפיות מהסרט לאור הביקורות אבל התאכזבתי""",7.0,NEUTRAL
נוספרטו,"""נוספרטו |  סרט אימה גותי משובח, אבל לא מושלם""",8.0,NEUTRAL
בייביגירל,"""בייביגירל |  הסרט""",,NEUTRAL
הטבעת,"""הטבעת | סרט חזק ואיכותי,קליל וזורם ונותן חומר למחשבה גם אחרי""",10.0,NEUTRAL
